,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
360,,,,,,,,,,,,,,,,,,,,,,,,,
361,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
362,,,,,,,,,,,,,,,,,,,,,,,,,
363,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
364,6,6,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,
365,,,,,,,,,,,,,,,,,,,,,,,,,
366,,,,,,,,,,,,,,,,,,,,,,,,,
367,,,,,,,,,,,,,,,,,,,,,,,,,
368,,,,,,,,,,,,,,,,,,,,,,,,,
369,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
370,,,,,,,,,,,,,,,,,,,,,,,,,
371,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
372,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
373,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
374,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
375,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
376,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
377,,,,,,,,,,,,,,,,,,,,,,,,,
378,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,,
